LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD
1,8234,8979,13017,12912,11979,14061,14768,13078,14156,16093,13567,12907,153751
2,4577,2619,4131,4083,3939,4933,5542,7272,5082,5672,4794,5604,58248
3,8435,7672,9256,9530,7536,8917,10777,9613,8687,10431,9018,8716,108588
4,6241,5340,6007,6403,5246,7417,8461,8026,7124,6489,6028,6218,79000
5,8331,8121,9915,9761,8406,10528,10043,9708,8886,9918,8866,8211,110694
6,9191,7835,9721,9925,8873,9908,9852,10385,8937,9999,8889,8479,111994
7,4541,3562,4983,5615,5095,6187,6507,6453,6093,6176,5401,4928,65541
8,8853,7513,9244,9025,7603,10150,9306,7904,7914,8613,6939,6769,99833
9,10431,8750,11575,12767,11290,11371,12367,12490,11709,11874,10645,10456,135725
10,9266,7317,9310,10315,8551,11087,11434,10425,9070,9854,8603,8910,114142
11,3922,3210,3933,4548,3503,5044,5603,5086,4238,4113,3898,3853,50951
12,5906,5414,5774,7154,5156,6197,7291,6942,6388,6780,5643,5141,73786
13,9220,8867,11633,11973,8477,7878,11332,11173,9861,10772,9288,10007,120481
14,10093,9851,11631,12034,9405,12545,12019,10463,10765,12258,11282,9433,131779
15,3171,2746,3374,3675,3700,3327,4298,4268,5018,5149,3740,3648,46114
16,4294,6494,6220,5675,5755,5530,5430,5110,5710,5965,5060,5295,66538
17,5768,4954,6029,6749,5304,6265,7068,6744,6388,6263,5138,5243,71913
18,18827,14436,19295,20053,17738,0,0,8004,28178,26432,20131,20969,194063
19,6031,5581,7160,7638,6035,7264,6808,6444,6493,7517,5453,5975,78399
20,8240,7098,8346,8126,6922,7970,9241,9733,8689,8555,7486,7119,97525
21,6743,5973,7143,8668,6544,9272,9158,9160,7620,7784,6681,6781,91527
22,16021,9128,11444,9274,7165,8827,11742,13098,10847,10364,8904,8242,125056
23,7630,7483,10105,8106,6973,8431,8353,9463,9609,10577,9311,9951,105992
24,10277,10634,13969,13027,11317,14005,10758,10335,13120,13192,9573,8333,138540
25,7811,6880,8549,8615,6823,9352,9770,8532,7571,8060,7267,6916,96146
26,12409,13125,14751,16401,13522,16493,16178,19071,18819,18101,16336,15179,190385
27,3861,3367,3348,3732,3240,4162,4297,4059,3631,5671,3312,3426,46106
28,1193,987,1576,2116,1564,1820,2718,1794,1734,2049,1319,1242,20112
29,5623,5557,6654,7009,5522,7535,8367,6996,6478,7307,6104,5410,78562
